epoch,acc,loss,val_acc,val_loss
0,0.38851111114819842,1.660481661966112,0.51759999999999995,1.3262438331604003
1,0.54308888895246721,1.2750055780834622,0.60319999999999996,1.1193507038116455
2,0.6129777777353923,1.0916920099788241,0.68000000000000005,0.92864536266326903
3,0.65393333343929716,0.97272546102735735,0.71540000000000004,0.82300713539123538
4,0.68602222224341503,0.89219131661521067,0.73939999999999995,0.76103409023284907
5,0.71068888895246718,0.82450807348887123,0.74180000000000001,0.74264443244934086
6,0.72553333336512249,0.77845284192827013,0.74439999999999995,0.72841215877532961
7,0.74228888897365997,0.73632754049301152,0.75839999999999996,0.69691811180114749
8,0.75022222216924028,0.7071364869541592,0.77000000000000002,0.67006520118713375
9,0.76406666670905221,0.67397166945139564,0.7792,0.63115830001831053
10,0.77491111108991839,0.64718566489219664,0.78559999999999997,0.63211974344253541
11,0.78022222228580052,0.62087644237942163,0.78080000000000005,0.64538563098907475
12,0.79046666666666665,0.58981683716244171,0.78900000000000003,0.62993950977325441
13,0.79699999998940363,0.57232093573676213,0.77780000000000005,0.67005185127258304
14,0.80213333336512249,0.559276182323032,0.7964,0.61632734642028808
15,0.80995555551317,0.5359947224193149,0.80000000000000004,0.6070849882125855
16,0.81502222221162579,0.52390587210655215,0.79479999999999995,0.60803053226470949
17,0.82017777785195245,0.50958543773227272,0.80379999999999996,0.58984630966186524
18,0.82660000008477108,0.48837225073708429,0.8004,0.59332787475585935
19,0.83288888883590695,0.47197458542717829,0.80259999999999998,0.6059556440353393
20,0.83857777787314525,0.45581878208584253,0.80600000000000005,0.60110323638916019
21,0.84064444444444442,0.45009630974133807,0.81220000000000003,0.58014634819030764
22,0.84508888886769618,0.43732114364306129,0.79859999999999998,0.61552362957000728
23,0.84688888888888891,0.43026858613755969,0.80059999999999998,0.60977116203308102
24,0.84746666661368475,0.42283914210531448,0.80359999999999998,0.60265094337463376
25,0.85157777776718135,0.41640819703208076,0.80179999999999996,0.60759544839859014
26,0.85571111108991837,0.40413903786341349,0.81279999999999997,0.59333071899414058
27,0.86284444448682995,0.39015533207787406,0.81040000000000001,0.60351676673889165
28,0.86355555555555552,0.38755575171046786,0.80640000000000001,0.60346193618774413
29,0.86444444444444446,0.38183191126187643,0.80559999999999998,0.594910641670227
30,0.86473333340750802,0.37978553580178154,0.81100000000000005,0.59934937534332278
31,0.8687777778201633,0.36404708652496337,0.80559999999999998,0.63262019481658938
32,0.87091111121707487,0.3574120065689087,0.81059999999999999,0.60939580097198487
33,0.875488888920678,0.34867751646571687,0.80520000000000003,0.61941902198791499
34,0.87444444442325164,0.35527592660056218,0.80940000000000001,0.61041791973114012
35,0.87760000008477101,0.34071560538080004,0.80259999999999998,0.6209398864746094
36,0.8797111110899184,0.34201919833289252,0.80020000000000002,0.63446914672851562
37,0.87893333333333334,0.34028485218683879,0.81259999999999999,0.6074779866218567
38,0.87935555556615197,0.33969797042740718,0.81320000000000003,0.5949224048614502
39,0.88604444441265529,0.32392553096877202,0.81120000000000003,0.60984314861297606
